project;filename;mutants;killed;survived;mutation score
binarySearchTree1;binarySearchTree1.py;211;169;42;80.09
binarySearchTree2;binarySearchTree2.py;214;156;58;72.90
binarySearchTree3;binarySearchTree3.py;291;216;75;74.23
binarySearchTree4;binarySearchTree4.py;18;18;0;100.00
identifier1;identifier1.py;140;122;18;87.14
linkedList1;linkedList1.py;146;105;41;71.92
linkedList2;linkedList2.py;44;39;5;88.64
linkedList3;linkedList3.py;54;30;24;55.56
linkedList4;linkedList4.py;72;63;9;87.50
linkedList5;linkedList5.py;74;69;5;93.24
queue1;queue1.py;14;12;2;85.71
queue2;queue2.py;62;53;9;85.48
queue3;queue3.py;91;71;20;78.02
queue4;queue4.py;112;94;18;83.93
queue5;queue5.py;16;13;3;81.25
sort1;sort1.py;185;83;102;44.86
stack1;stack1.py;114;39;75;34.21
stack2;stack2.py;19;18;1;94.74
stack3;stack3.py;70;45;25;64.29
stack4;stack4.py;72;61;11;84.72
stack5;stack5.py;5;4;1;80.00
